book_id,goodreads_book_id,best_book_id,work_id,authors,original_publication_year,title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,Genre 1,Genre 2,Genre 3,Genre 4,isbn,isbn13
279,29056083,29056083,48765776,John Tiffany Jack Thorne J.K. Rowling,2016,Harry Potter and the Cursed Child - Parts One and Two (Harry Potter #8),3.75,270603,397773,53365,15828,35842,96395,133156,116552,https://images.gr-assets.com/books/1470082995m/29056083.jpg,https://images.gr-assets.com/books/1470082995s/29056083.jpg,fantasy,fiction,young adult,plays,751565350,9.78E+12
280,11614718,11614718,10342808,Lauren Oliver,2011,Delirium (Delirium #1),3.99,256975,352398,24271,8868,21223,68789,117580,135938,https://images.gr-assets.com/books/1327890411m/11614718.jpg,https://images.gr-assets.com/books/1327890411s/11614718.jpg,young adult,dystopian,,,61726834,9.78E+12
281,32499,32499,490324,John Grisham,1992,The Pelican Brief,3.95,288376,296168,2006,2362,12423,73587,116438,91358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,fiction,mystery,thriller,john grisham,385339704,9.78E+12
282,17061,17061,2834844,Neil Gaiman,2002,Coraline,4.03,316379,343630,13905,7078,15010,67188,126167,128187,https://images.gr-assets.com/books/1493497435m/17061.jpg,https://images.gr-assets.com/books/1493497435s/17061.jpg,fantasy,horror,fiction,young adult,61139378,9.78E+12
283,12067,12067,4110990,Terry Pratchett Neil Gaiman,1990,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,4.25,298304,326373,13914,4991,10988,44804,101159,164431,https://images.gr-assets.com/books/1392528568m/12067.jpg,https://images.gr-assets.com/books/1392528568s/12067.jpg,fantasy,fiction,humor,humour,60853980,9.78E+12
284,70401,70401,1701188,Jack Kerouac,1955,On the Road,3.64,246602,277884,12011,13769,31221,70104,88569,74221,https://images.gr-assets.com/books/1413588576m/70401.jpg,https://images.gr-assets.com/books/1413588576s/70401.jpg,classics,fiction,travel,literature,140042598,9.78E+12
285,16181775,16181775,22084678,Graeme Simsion,2013,The Rosie Project (Don Tillman #1),4.01,251703,305509,31155,4544,11558,57792,133951,97664,https://images.gr-assets.com/books/1371651741m/16181775.jpg,https://images.gr-assets.com/books/1371651741s/16181775.jpg,fiction,romance,book club,contemporary,1476729085,9.78E+12
286,3063499,3063499,3094402,Nicholas Sparks,2008,The Lucky One,4.1,267166,281323,9476,3661,11792,54208,94613,117049,https://images.gr-assets.com/books/1420816338m/3063499.jpg,https://images.gr-assets.com/books/1420816338s/3063499.jpg,romance,nicholas sparks,fiction,chick lit,446579939,9.78E+12
287,2122,2122,3331807,Ayn Rand Leonard Peikoff,1943,The Fountainhead,3.85,244545,254976,10198,18158,18720,44131,76424,97543,https://images.gr-assets.com/books/1491163636m/2122.jpg,https://images.gr-assets.com/books/1491163636s/2122.jpg,fiction,classics,philosophy,,451191153,9.78E+12
288,19691,19691,1112006,Tom Clancy,1984,The Hunt for Red October (Jack Ryan Universe #4),4.01,270318,278255,2117,9470,13707,49906,95296,109876,https://images.gr-assets.com/books/1281995542m/19691.jpg,https://images.gr-assets.com/books/1281995542s/19691.jpg,fiction,thriller,tom clancy,military,425172902,9.78E+12
289,76620,76620,1357456,Richard Adams,1972,Watership Down (Watership Down #1),4.05,292426,308373,10399,9158,15767,52906,102093,128449,https://images.gr-assets.com/books/1405136931m/76620.jpg,https://images.gr-assets.com/books/1405136931s/76620.jpg,classics,fiction,fantasy,young adult,038039586X,9.78E+12
290,10335308,10335308,15237902,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84,290674,312931,19397,6438,18856,81229,117248,89160,https://images.gr-assets.com/books/1443264638m/10335308.jpg,https://images.gr-assets.com/books/1443264638s/10335308.jpg,nonfiction,humor,memoir,,307886263,9.78E+12
291,3591262,3591262,3633533,Abraham Verghese,2009,Cutting for Stone,4.28,258319,281079,23146,4586,9249,32671,91293,143280,https://images.gr-assets.com/books/1327931601m/3591262.jpg,https://images.gr-assets.com/books/1327931601s/3591262.jpg,fiction,book club,historical fiction,africa,375414495,9.78E+12
292,140225,140225,3349054,C.S. Lewis Pauline Baynes,1951,The Voyage of the Dawn Treader (Chronicles of Narnia #3),4.08,306492,325264,4620,2658,12490,69089,112121,128906,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg,fantasy,fiction,classics,young adult,006112527X,9.78E+12
293,295,295,3077988,Robert Louis Stevenson,1882,Treasure Island,3.82,268012,310515,7917,5349,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg,classics,fiction,adventure,,753453800,9.78E+12
294,9520360,9520360,14406312,Rick Riordan,2011,The Son of Neptune (The Heroes of Olympus #2),4.44,299980,316800,12270,1773,4666,30788,93611,185962,https://images.gr-assets.com/books/1464201114m/9520360.jpg,https://images.gr-assets.com/books/1464201114s/9520360.jpg,fantasy,young adult,mythology,rick riordan,1423140591,9.78E+12
295,10644930,10644930,15553789,Stephen King,2011,11/22/63,4.29,258464,303057,30656,2927,7649,35500,109392,147589,https://images.gr-assets.com/books/1327876792m/10644930.jpg,https://images.gr-assets.com/books/1327876792s/10644930.jpg,fiction,historical fiction,stephen king,science fiction,1451627289,9.78E+12
296,4948,4948,3144982,Eric Carle,1969,The Very Hungry Caterpillar Board Book,4.29,296952,304528,5760,5801,11214,43549,73389,170575,https://images.gr-assets.com/books/1327878225m/4948.jpg,https://images.gr-assets.com/books/1327878225s/4948.jpg,picture books,children's,,,241003008,9.78E+12
297,135479,135479,1621115,Kurt Vonnegut Jr.,1963,Cat's Cradle,4.18,238940,274153,8050,2701,8491,43680,102441,116840,https://images.gr-assets.com/books/1327867150m/135479.jpg,https://images.gr-assets.com/books/1327867150s/135479.jpg,fiction,classics,science fiction,,140285601,9.78E+12
298,2493,2493,3234863,H.G. Wells Greg Bear Carlo Pagetti,1895,The Time Machine,3.87,276076,303730,7353,3570,16119,81773,118129,84139,https://images.gr-assets.com/books/1327942880m/2493.jpg,https://images.gr-assets.com/books/1327942880s/2493.jpg,classics,science fiction,fiction,,451528557,9.78E+12
299,7933292,7933292,11283577,Todd Burpo Lynn Vincent,2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.01,228371,243018,14378,9291,15024,44510,68399,105794,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,nonfiction,christian,religion,,849946158,9.78E+12
300,39999,39999,1148702,John Boyne,2006,The Boy in the Striped Pajamas,4.1,285692,325401,19058,5297,13562,54987,121193,130362,https://images.gr-assets.com/books/1366228171m/39999.jpg,https://images.gr-assets.com/books/1366228171s/39999.jpg,historical fiction,fiction,young adult,historical,385751060,9.78E+12
301,4900,4900,2877220,Joseph Conrad,1899,Heart of Darkness,3.42,255576,308391,9791,25591,42946,84433,88608,66813,https://images.gr-assets.com/books/1392799983m/4900.jpg,https://images.gr-assets.com/books/1392799983s/4900.jpg,classics,fiction,literature,,1892295490,9.78E+12
302,7812659,7812659,10829530,Nicholas Sparks,2010,Safe Haven,4.19,255531,274974,12769,3010,9496,45461,91240,125767,https://images.gr-assets.com/books/1344268800m/7812659.jpg,https://images.gr-assets.com/books/1344268800s/7812659.jpg,romance,nicholas sparks,fiction,chick lit,044654759X,9.78E+12
303,52529,52529,2001660,Rhonda Byrne,2006,The Secret (The Secret #1),3.62,241537,250945,9663,23328,26321,55785,61698,83813,https://images.gr-assets.com/books/1482865039m/52529.jpg,https://images.gr-assets.com/books/1482865039s/52529.jpg,self help,nonfiction,spirituality,,1582701709,9.78E+12
304,227711,227711,1191096,Wally Lamb,1998,I Know This Much Is True,4.17,246917,257608,7775,4430,9972,39899,86909,116398,https://images.gr-assets.com/books/1373532198m/227711.jpg,https://images.gr-assets.com/books/1373532198s/227711.jpg,fiction,book club,contemporary,contemporary fiction,60987561,9.78E+12
305,10583,33124137,150017,Stephen King,1983,Pet Sematary,3.91,256383,293753,5430,4584,17315,73475,102744,95635,https://images.gr-assets.com/books/1308894674m/10583.jpg,https://images.gr-assets.com/books/1308894674s/10583.jpg,horror,stephen king,fiction,thriller,1416524347,9.78E+12
306,5203,5203,1003370,Wally Lamb,1992,She's Come Undone,3.84,259576,268924,9090,10224,20064,59412,91423,87801,https://images.gr-assets.com/books/1408313457m/5203.jpg,https://images.gr-assets.com/books/1408313457s/5203.jpg,fiction,contemporary,book club,chick lit,671021001,9.78E+12
307,1215032,1215032,2502882,Patrick Rothfuss,2011,The Wise Man's Fear (The Kingkiller Chronicle #2),4.57,245686,282349,15503,1486,4018,17932,66415,192498,https://images.gr-assets.com/books/1452624392m/1215032.jpg,https://images.gr-assets.com/books/1452624392s/1215032.jpg,fantasy,fiction,epic fantasy,series,756404738,9.78E+12
308,33724,33724,2888997,Sophie Kinsella,2003,Can You Keep a Secret?,3.83,278747,293801,9510,8003,19319,76244,101810,88425,https://images.gr-assets.com/books/1330464293m/33724.jpg,https://images.gr-assets.com/books/1330464293s/33724.jpg,chick lit,romance,fiction,contemporary,440241901,9.78E+12
309,6752378,6752378,6948844,Cassandra Clare,2011,City of Fallen Angels (The Mortal Instruments #4),4.16,341826,373167,18870,4306,16000,64499,120426,167936,https://images.gr-assets.com/books/1369452302m/6752378.jpg,https://images.gr-assets.com/books/1369452302s/6752378.jpg,fantasy,young adult,paranormal,,1442403543,9.78E+12
310,14748,14748,2796838,Jennifer Weiner,2001,Good in Bed (Cannie Shapiro #1),3.7,248804,252305,5500,12137,20336,66587,84488,68757,https://images.gr-assets.com/books/1327936464m/14748.jpg,https://images.gr-assets.com/books/1327936464s/14748.jpg,chick lit,fiction,romance,chicklit,743418174,9.78E+12
311,3412,3412,816449,Colleen McCullough,1977,The Thorn Birds,4.22,255651,266826,4556,2889,9117,42299,85531,126990,https://images.gr-assets.com/books/1391416796m/3412.jpg,https://images.gr-assets.com/books/1391416796s/3412.jpg,fiction,historical fiction,romance,classics,380018179,9.78E+12
312,2213661,2213661,2219449,Neil Gaiman Dave McKean,2008,The Graveyard Book,4.12,302303,325451,23840,5515,12566,53668,120830,132872,https://images.gr-assets.com/books/1303859949m/2213661.jpg,https://images.gr-assets.com/books/1303859949s/2213661.jpg,fantasy,young adult,fiction,,60530928,9.78E+12
313,13158800,13158800,18337340,M.L. Stedman,2012,The Light Between Oceans,4,243526,288434,29932,3432,11985,56557,124430,92030,https://images.gr-assets.com/books/1336683021m/13158800.jpg,https://images.gr-assets.com/books/1336683021s/13158800.jpg,book club,fiction,historical fiction,australia,1451681739,9.78E+12
314,28194,28194,2628323,Cornelia Funke Anthea Bell,2003,Inkheart (Inkworld #1),3.86,285011,301414,10384,8524,22966,71494,98625,99805,https://images.gr-assets.com/books/1328866790m/28194.jpg,https://images.gr-assets.com/books/1328866790s/28194.jpg,fantasy,young adult,fiction,,439709105,9.78E+12
315,4894,4894,3332594,Spencer Johnson Kenneth H. Blanchard,1998,Who Moved My Cheese?,3.74,237272,253134,7877,12161,23384,61934,77196,78459,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,nonfiction,business,self help,,91883768,9.78E+12
316,9791,9791,613469,Bill Bryson,1997,A Walk in the Woods,4.05,250192,264449,14422,3553,10293,50487,104690,95426,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,nonfiction,travel,humor,,307279464,9.78E+12
317,13214,13214,1413589,Maya Angelou,1969,I Know Why the Caged Bird Sings,4.19,270859,284448,6666,4969,9937,42472,95531,131539,https://images.gr-assets.com/books/1327957927m/13214.jpg,https://images.gr-assets.com/books/1327957927s/13214.jpg,nonfiction,classics,memoir,,553279378,9.78E+12
318,15818107,15818107,21545713,Christina Baker Kline,2013,Orphan Train,4.14,226091,263968,24700,1703,6769,42434,116003,97059,https://images.gr-assets.com/books/1362409483m/15818107.jpg,https://images.gr-assets.com/books/1362409483s/15818107.jpg,historical fiction,book club,fiction,historical,61950726,9.78E+12
319,8755776,8755776,13629058,Cassandra Clare,2012,City of Lost Souls (The Mortal Instruments #5),4.3,300553,327869,16639,3341,10329,43333,97947,172919,https://images.gr-assets.com/books/1460477703m/8755776.jpg,https://images.gr-assets.com/books/1460477703s/8755776.jpg,fantasy,young adult,paranormal,,1442416866,9.78E+12
320,13526165,13526165,17626728,Maria Semple,2012,Where'd You Go Bernadette,3.9,215453,268153,28973,4080,13047,59489,119361,72176,https://images.gr-assets.com/books/1338822317m/13526165.jpg,https://images.gr-assets.com/books/1338822317s/13526165.jpg,fiction,book club,humor,contemporary,316204277,9.78E+12
321,10365,10365,115,Wilson Rawls,1961,Where the Red Fern Grows,4.04,268548,280179,8725,6585,15232,53560,89699,115103,https://images.gr-assets.com/books/1166154337m/10365.jpg,https://images.gr-assets.com/books/1166154337s/10365.jpg,classics,fiction,young adult,children's,375806814,9.78E+12
322,14497,14497,16534,Neil Gaiman,1996,Neverwhere,4.18,268318,301740,15680,3126,9628,46996,113506,128484,https://images.gr-assets.com/books/1348747943m/14497.jpg,https://images.gr-assets.com/books/1348747943s/14497.jpg,fantasy,fiction,urban fantasy,sci fi fantasy,60557818,9.78E+12
323,9717,9717,4489585,Milan Kundera Michael Henry Heim,1984,The Unbearable Lightness of Being,4.08,205279,247980,10682,4894,12964,42199,84519,103404,https://images.gr-assets.com/books/1265401884m/9717.jpg,https://images.gr-assets.com/books/1265401884s/9717.jpg,fiction,classics,philosophy,literature,571224385,9.78E+12
324,16068905,16068905,21861351,Rainbow Rowell,2013,Fangirl,4.12,340379,371730,39353,8626,16973,60097,121431,164603,https://images.gr-assets.com/books/1499565420m/16068905.jpg,https://images.gr-assets.com/books/1499565420s/16068905.jpg,young adult,contemporary,romance,,,
325,4473,4473,1734019,John Irving,1989,A Prayer for Owen Meany,4.22,226964,246452,11197,4679,9761,33669,76223,122120,https://images.gr-assets.com/books/1260470010m/4473.jpg,https://images.gr-assets.com/books/1260470010s/4473.jpg,fiction,classics,book club,literature,552135399,9.78E+12
326,32234,32234,1223333,Janet Fitch,1999,White Oleander,3.93,245674,254276,5960,3765,13598,60133,94893,81887,https://images.gr-assets.com/books/1501159524m/32234.jpg,https://images.gr-assets.com/books/1501159524s/32234.jpg,fiction,contemporary,contemporary fiction,book club,316182540,9.78E+12
327,9275658,9275658,14157512,Marie Lu,2011,Legend (Legend #1),4.19,299998,318472,23487,5069,11608,48677,106122,146996,https://images.gr-assets.com/books/1501368160m/9275658.jpg,https://images.gr-assets.com/books/1501368160s/9275658.jpg,young adult,romance,fantasy,science fiction,039925675X,9.78E+12
328,14866,14866,3375915,Jodi Picoult,2007,Nineteen Minutes,4.1,235978,251693,14004,2852,9629,46237,94104,98871,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,fiction,jodi picoult,contemporary,book club,743496728,9.78E+12
329,2318271,2318271,3364076,Randy Pausch Jeffrey Zaslow,2008,The Last Lecture,4.25,241869,248143,14988,3004,8851,35547,76621,124120,https://images.gr-assets.com/books/1388075896m/2318271.jpg,https://images.gr-assets.com/books/1388075896s/2318271.jpg,nonfiction,memoir,biography,,1401323251,9.78E+12
330,228665,228665,2008238,Robert Jordan,1990,The Eye of the World (Wheel of Time #1),4.18,260184,272983,8212,6163,11298,38946,88024,128552,https://images.gr-assets.com/books/1337818095m/228665.jpg,https://images.gr-assets.com/books/1337818095s/228665.jpg,fantasy,fiction,epic fantasy,wheel of time,812511816,9.78E+12
331,10916,10916,3349846,Jodi Picoult,1998,The Pact,4,221225,235359,9257,3586,11789,50494,85430,84060,https://images.gr-assets.com/books/1410754561m/10916.jpg,https://images.gr-assets.com/books/1410754561s/10916.jpg,fiction,jodi picoult,romance,contemporary,61150142,9.78E+12
332,65605,65605,1031537,C.S. Lewis,1953,The Magician's Nephew (Chronicles of Narnia #6),4.01,268355,303570,8690,3168,14602,69051,105375,111374,https://images.gr-assets.com/books/1308814770m/65605.jpg,https://images.gr-assets.com/books/1308814770s/65605.jpg,fantasy,classics,fiction,young adult,60764902,9.78E+12
333,2153405,2153405,2158906,Lisa Genova,2007,Still Alice,4.3,223432,245071,24112,1178,4249,28642,96615,114387,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,fiction,book club,contemporary,psychology,595440096,9.78E+12
334,13596809,13596809,19186128,Sylvia Day,2012,Reflected in You (Crossfire #2),4.33,252564,267608,9817,2923,8651,33911,74587,147536,https://images.gr-assets.com/books/1477802540m/13596809.jpg,https://images.gr-assets.com/books/1477802540s/13596809.jpg,romance,erotica,series,sylvia day,425263916,9.78E+12
335,6689,6689,2379261,Roald Dahl Quentin Blake,1961,James and the Giant Peach,3.99,270402,289737,5120,4235,13199,65762,104078,102463,https://images.gr-assets.com/books/1320412586m/6689.jpg,https://images.gr-assets.com/books/1320412586s/6689.jpg,children's,fantasy,fiction,,375814248,9.78E+12
336,13137,13137,1711194,James Patterson,2001,1st to Die (Women's Murder Club #1),4.05,233984,242428,5039,4464,10087,48616,83796,95465,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,mystery,james patterson,fiction,crime,446696617,9.78E+12
337,13,13,135328,Douglas Adams,1996,The Ultimate Hitchhiker's Guide to the Galaxy,4.37,222842,238420,4254,2657,6328,26431,66655,136349,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg,science fiction,fiction,humor,,345453743,9.78E+12
338,6280118,6280118,6463667,David Nicholls,2009,One Day,3.77,222926,247052,15937,8632,21291,59874,86793,70462,https://images.gr-assets.com/books/1327873020m/6280118.jpg,https://images.gr-assets.com/books/1327873020s/6280118.jpg,fiction,romance,contemporary,chick lit,340896965,9.78E+12
339,32929,32929,1086867,Margaret Wise Brown Clement Hurd,1947,Goodnight Moon,4.27,244842,252678,4604,4998,10298,37146,59629,140607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,children's,picture books,,,60775858,9.78E+12
340,7747374,7747374,10576999,Pittacus Lore,2010,I Am Number Four (Lorien Legacies #1),3.94,253437,270195,14101,6538,17766,58268,90409,97214,https://images.gr-assets.com/books/1305807140m/7747374.jpg,https://images.gr-assets.com/books/1305807140s/7747374.jpg,young adult,fantasy,science fiction,,61969559,9.78E+12
341,1371,1371,3293141,Homer Robert Fagles Frédéric Mugler Bernard Knox,-750,The Iliad,3.83,241088,273565,4763,7701,20845,68844,89384,86791,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,classics,poetry,fiction,mythology,140275363,9.78E+12
342,13497818,13497818,19926990,J.K. Rowling,2012,The Casual Vacancy,3.28,231835,254461,28751,24583,38326,74611,75741,41200,https://images.gr-assets.com/books/1358266832m/13497818.jpg,https://images.gr-assets.com/books/1358266832s/13497818.jpg,fiction,contemporary,abandoned,book club,316228532,9.78E+12
343,24192,24192,1022176,John Grisham,1996,The Runaway Jury,3.96,222712,226861,1700,1613,8950,56426,90284,69588,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,fiction,john grisham,thriller,mystery,385339690,9.78E+12
344,4138,4138,2086690,David Sedaris,1997,Naked,4.08,201337,204766,5096,2631,7051,37023,81934,76127,https://images.gr-assets.com/books/1394178867m/4138.jpg,https://images.gr-assets.com/books/1394178867s/4138.jpg,humor,nonfiction,memoir,,316777730,9.78E+12
345,45978,45978,2035753,Christopher Paolini,2005,Eldest (The Inheritance Cycle #2),3.96,250000,274059,8284,5483,16680,58948,95907,97041,https://images.gr-assets.com/books/1387119654m/45978.jpg,https://images.gr-assets.com/books/1387119654s/45978.jpg,fantasy,young adult,fiction,dragons,375840400,9.78E+12
346,236093,236093,1993810,L. Frank Baum W.W. Denslow,1900,The Wonderful Wizard of Oz (Oz #1),3.98,247521,279400,8866,4197,13653,65910,95948,99692,https://images.gr-assets.com/books/1398003737m/236093.jpg,https://images.gr-assets.com/books/1398003737s/236093.jpg,classics,fantasy,fiction,children's,140621679,9.78E+12
347,121749,121749,3348636,C.S. Lewis,1951,Prince Caspian (Chronicles of Narnia #2),3.96,250221,273069,4737,2399,12145,68026,101461,89038,https://images.gr-assets.com/books/1308814880m/121749.jpg,https://images.gr-assets.com/books/1308814880s/121749.jpg,fantasy,fiction,classics,young adult,000720230X,9.78E+12
348,16143347,16143347,21975829,E. Lockhart,2014,We Were Liars,3.85,273442,298780,36910,9074,22616,68468,102385,96237,https://images.gr-assets.com/books/1402749479m/16143347.jpg,https://images.gr-assets.com/books/1402749479s/16143347.jpg,young adult,contemporary,mystery,,,
349,11590,11590,3048937,Stephen King,1975,'Salem's Lot,3.99,228680,246360,6167,2713,11724,57171,89196,85556,https://images.gr-assets.com/books/1327891565m/11590.jpg,https://images.gr-assets.com/books/1327891565s/11590.jpg,horror,stephen king,fiction,vampires,450031063,9.78E+12
350,7745,7745,1309111,Hunter S. Thompson Ralph Steadman,1971,Fear and Loathing in Las Vegas,4.08,232489,242140,5021,4730,11381,42362,84094,99573,https://images.gr-assets.com/books/1394204569m/7745.jpg,https://images.gr-assets.com/books/1394204569s/7745.jpg,fiction,classics,nonfiction,humor,679785892,9.78E+12
351,10025305,10025305,6674845,Cassandra Clare,2011,Clockwork Prince (The Infernal Devices #2),4.46,307994,328019,17854,3420,6235,29508,85633,203223,https://images.gr-assets.com/books/1460477747m/10025305.jpg,https://images.gr-assets.com/books/1460477747s/10025305.jpg,fantasy,young adult,romance,,1416975888,9.78E+12
352,20910157,20910157,40098620,Amy Poehler,2014,Yes Please,3.81,251082,274223,20301,8886,19000,69227,96483,80627,https://images.gr-assets.com/books/1402815435m/20910157.jpg,https://images.gr-assets.com/books/1402815435s/20910157.jpg,nonfiction,memoir,humor,,62268341,9.78E+12
353,12996,12996,995103,William Shakespeare,1603,Othello,3.88,238875,256757,4334,4281,16576,64922,92076,78902,https://images.gr-assets.com/books/1459795105m/12996.jpg,https://images.gr-assets.com/books/1459795105s/12996.jpg,classics,plays,shakespeare,drama,743477553,9.78E+12
354,6149,6149,736076,Toni Morrison,1987,Beloved,3.77,233825,245098,7749,12441,21409,53863,79915,77470,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,fiction,classics,historical fiction,magical realism,1400033411,9.78E+12
355,3236307,3236307,3270810,Kristin Cashore,2008,Graceling (Graceling Realm #1),4.1,281185,296630,19081,6773,13946,48894,99939,127078,https://images.gr-assets.com/books/1331548394m/3236307.jpg,https://images.gr-assets.com/books/1331548394s/3236307.jpg,fantasy,young adult,romance,,015206396X,9.78E+12
356,78411,78411,1069597,Lemony Snicket Brett Helquist,1999,The Bad Beginning (A Series of Unfortunate Events #1),3.89,275670,295024,12794,6701,18612,70767,102585,96359,https://images.gr-assets.com/books/1490085391m/78411.jpg,https://images.gr-assets.com/books/1490085391s/78411.jpg,fiction,young adult,children's,fantasy,439206472,9.78E+12
357,355697,355697,2662852,Erich Maria Remarque A.W. Wheen,1929,All Quiet on the Western Front,3.92,249113,265789,6947,7646,17740,55908,90874,93621,https://images.gr-assets.com/books/1441227765m/355697.jpg,https://images.gr-assets.com/books/1441227765s/355697.jpg,classics,fiction,historical fiction,war,449213943,9.78E+12
358,191139,191139,2125304,Dr. Seuss,1990,Oh The Places You'll Go!,4.34,257260,260002,4021,3615,8150,33869,63795,150573,https://images.gr-assets.com/books/1421708635m/191139.jpg,https://images.gr-assets.com/books/1421708635s/191139.jpg,children's,picture books,,,679805273,9.78E+12
359,16115612,16115612,21933087,Khaled Hosseini,2012,And the Mountains Echoed,4.03,199326,229116,24084,2049,9146,45985,93953,77983,https://images.gr-assets.com/books/1358190204m/16115612.jpg,https://images.gr-assets.com/books/1358190204s/16115612.jpg,fiction,book club,historical fiction,afghanistan,159463176X,9.78E+12
360,7082,7082,830939,Philip K. Dick Roger Zelazny,1968,Do Androids Dream of Electric Sheep?,4.08,223828,245008,8330,2097,8453,45683,100794,87981,https://images.gr-assets.com/books/1435458683m/7082.jpg,https://images.gr-assets.com/books/1435458683s/7082.jpg,science fiction,fiction,classics,,345404475,9.78E+12
361,18254,18254,3057979,Charles Dickens George Cruikshank Philip Horne,1838,Oliver Twist,3.85,230181,253163,5342,4766,15425,65342,96135,71495,https://images.gr-assets.com/books/1327868529m/18254.jpg,https://images.gr-assets.com/books/1327868529s/18254.jpg,classics,fiction,literature,,141439742,9.78E+12
362,11149,17383917,2920952,C.S. Lewis,1942,The Screwtape Letters,4.21,116277,238169,8285,4524,8925,34444,75279,114997,https://images.gr-assets.com/books/1347801873m/11149.jpg,https://images.gr-assets.com/books/1347801873s/11149.jpg,fiction,classics,christian,religion,60652896,9.78E+12
363,6936382,6936382,7168450,Stephanie Perkins,2010,Anna and the French Kiss (Anna and the French Kiss #1),4.08,259479,285344,26153,10602,14781,46011,84323,129627,https://images.gr-assets.com/books/1358271931m/6936382.jpg,https://images.gr-assets.com/books/1358271931s/6936382.jpg,young adult,romance,contemporary,,525423273,9.78E+12
364,113946,113946,267076,Dr. Seuss,1957,How the Grinch Stole Christmas!,4.36,250602,256127,2204,3438,7227,32673,63395,149394,https://images.gr-assets.com/books/1327958149m/113946.jpg,https://images.gr-assets.com/books/1327958149s/113946.jpg,children's,picture books,,,7173040,9.78E+12
365,5805,5805,392838,Alan Moore David   Lloyd,1990,V for Vendetta,4.25,210682,220640,4138,3564,6593,29496,73094,107893,https://images.gr-assets.com/books/1343668985m/5805.jpg,https://images.gr-assets.com/books/1343668985s/5805.jpg,comics,graphic novel,fiction,,1401207928,9.78E+12
366,2203,2203,963375,David McCullough,2001,John Adams,4.05,215780,220127,5334,11255,10372,30772,70601,97127,https://images.gr-assets.com/books/1478144278m/2203.jpg,https://images.gr-assets.com/books/1478144278s/2203.jpg,history,biography,nonfiction,,743223136,9.78E+12
367,14995,14995,4574034,Dean Koontz,2003,Odd Thomas (Odd Thomas #1),3.94,205986,213895,6357,10963,12869,39433,65984,84646,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,horror,fiction,mystery,dean koontz,553384287,9.78E+12
368,119324,119324,1570229,Philip Pullman,1997,The Subtle Knife (His Dark Materials #2),4.1,242503,270785,6139,3905,11486,47802,96998,110594,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg,fantasy,young adult,fiction,,679879250,9.78E+12
